COUNTRY,TOP 100,101-500,501-1000,1001-5000,5001-10000,TOTAL
Saint Vincent & the Grenadines,0,0,0,0,1,2
Samoa,0,0,0,0,1,2
Vatican City,0,0,0,0,1,2
"Bonaire, Sint Eustatius and Saba",0,0,0,0,1,1
Central African Republic,0,0,0,0,1,1
Djibouti,0,0,0,0,1,1
Micronesia,0,0,0,0,1,1
Monaco,0,0,0,0,1,1
French Polynesia,0,0,0,0,1,1
San Marino,0,0,0,0,1,1
Turkmenistan,0,0,0,0,0,29
Gabon,0,0,0,0,0,13
Mali,0,0,0,0,0,8
Curaçao,0,0,0,0,0,8
Maldives,0,0,0,0,0,5
Chad,0,0,0,0,0,5
Saint Lucia,0,0,0,0,0,4
Mauritania,0,0,0,0,0,4
Niger,0,0,0,0,0,2
International Europe,0,0,0,0,0,2
Kiribati,0,0,0,0,0,2
Montserrat,0,0,0,0,0,2
Turks & Caicos Islands,0,0,0,0,0,2
Virgin Islands (British),0,0,0,0,0,2
Vanuatu,0,0,0,0,0,2
South Sudan,0,0,0,0,0,2
Reunion,0,0,0,0,0,1
American Samoa,0,0,0,0,0,1
Bermuda,0,0,0,0,0,1
Cook Islands,0,0,0,0,0,1
French Guiana,0,0,0,0,0,1
Gibraltar,0,0,0,0,0,1
Equatorial Guinea,0,0,0,0,0,1
Isle of Man,0,0,0,0,0,1
Comoros,0,0,0,0,0,1
Marshall Islands,0,0,0,0,0,1
Northern Mariana Islands,0,0,0,0,0,1
Martinique,0,0,0,0,0,1
New Caledonia,0,0,0,0,0,1
Niue,0,0,0,0,0,1
Palau,0,0,0,0,0,1
Solomon Islands,0,0,0,0,0,1
Sint Maarten,0,0,0,0,0,1
Tonga,0,0,0,0,0,1
